date,total_portfolio_value_usdt
2025-06-08,192.08645326
2025-06-09,188.396214689
2025-06-10,192.29183575460002
2025-06-11,373.2961440287135
2025-06-12,359.19699034011074
2025-07-27,435.2414666227328
2025-07-28,424.67790608529504
2025-08-19,441.3800295820969
2025-08-20,451.8211239763319
2025-10-01,460.27630303399195
2025-10-02,469.67948245965636
