timestamp,order_id,symbol,side,price,quantity,cost,commission,pnl
2025-06-10 17:33:43,670671633,binance_DOGEUSDT,BUY,0.19748,25.0,4.937,0.15,0
2025-06-11 13:07:14,SELL_ORDER_ID,binance_DOGEUSDT,SELL,0.19463,25.0,4.86575,0.019,-0.24
2025-06-11 14:50:14,514099527,binance_ADAUSDT,BUY,0.7059,21.2,14.965,0.1272,0
2025-06-11 14:54:27,514099872,binance_ADAUSDT,SELL,0.7041,41.9,29.501,0.177,14.23
2025-06-11 14:59:08,674258729,binance_SOLUSDT,BUY,163.1,0.091,14.842,0.000546,0
